case_id,dispute_amount,dispute_reason,days_since_order,order_exists,invoice_exists,payment_confirmed,delivery_status,tracking_number_present,customer_communication,refund_status,customer_prior_dispute_count,outcome
CB-1001,19162.14,unauthorized_transaction,12,True,True,True,delivered_unconfirmed,True,no_contact,partial_refund,0,won
CB-1002,1260.61,not_as_described,8,True,True,True,delivered_confirmed,True,acknowledged_receipt,no_refund,0,won
CB-1003,5898.91,item_not_received,17,True,True,True,delivered_unconfirmed,True,no_contact,no_refund,0,won
CB-1004,12294.07,item_not_received,35,True,True,True,delivered_confirmed,True,no_contact,no_refund,0,won
CB-1005,2505.49,item_not_received,32,True,True,True,delivered_confirmed,True,complained_before,no_refund,0,won
CB-1006,2324.02,not_as_described,23,True,True,True,delivered_unconfirmed,True,complained_before,no_refund,0,won
CB-1007,2091.03,item_not_received,38,True,True,True,delivered_confirmed,True,acknowledged_receipt,partial_refund,1,won
CB-1008,68220.32,item_not_received,25,True,True,True,delivered_confirmed,True,no_contact,partial_refund,0,won
CB-1009,6775.83,item_not_received,30,True,True,True,unknown,False,complained_before,no_refund,0,won
CB-1010,2023.91,not_as_described,21,True,False,True,delivered_confirmed,True,complained_before,no_refund,0,won
CB-1011,12108.17,item_not_received,18,True,True,True,delivered_confirmed,True,acknowledged_receipt,no_refund,0,won
CB-1012,18924.41,item_not_received,15,True,True,True,not_delivered,False,complained_before,no_refund,0,lost
CB-1013,57986.09,item_not_received,46,True,True,True,delivered_confirmed,True,no_contact,no_refund,0,won
CB-1014,3086.05,item_not_received,59,True,True,True,delivered_confirmed,True,complained_before,partial_refund,0,won
CB-1015,1419.29,item_not_received,37,True,True,True,delivered_unconfirmed,True,no_contact,no_refund,0,won
CB-1016,2851.15,duplicate_charge,21,True,True,False,unknown,False,complained_before,no_refund,1,lost
CB-1017,1892.0,duplicate_charge,33,True,False,True,delivered_confirmed,True,no_contact,full_refund,1,won
CB-1018,2523.4,unauthorized_transaction,31,True,True,True,unknown,False,complained_before,no_refund,0,won
CB-1019,12224.96,item_not_received,19,True,True,True,delivered_unconfirmed,True,complained_before,no_refund,0,won
CB-1020,12190.8,not_as_described,7,True,True,True,delivered_confirmed,False,no_contact,no_refund,0,won
CB-1021,1125.61,not_as_described,39,True,True,True,delivered_confirmed,True,complained_before,no_refund,1,won
CB-1022,615.01,item_not_received,30,True,True,True,delivered_confirmed,True,complained_before,no_refund,0,won
CB-1023,13639.62,not_as_described,30,True,True,True,delivered_confirmed,False,complained_before,no_refund,0,won
CB-1024,19004.9,item_not_received,28,True,True,True,not_delivered,True,acknowledged_receipt,no_refund,0,lost
CB-1025,16659.18,item_not_received,32,False,False,True,not_delivered,True,no_contact,partial_refund,0,lost
CB-1026,26187.43,duplicate_charge,46,True,True,True,unknown,True,complained_before,full_refund,3,lost
CB-1027,10623.57,item_not_received,44,True,True,True,delivered_unconfirmed,True,complained_before,no_refund,2,won
CB-1028,857.48,unauthorized_transaction,15,True,True,True,delivered_unconfirmed,True,acknowledged_receipt,full_refund,0,won
CB-1029,76834.91,duplicate_charge,16,True,True,True,unknown,True,complained_before,no_refund,0,won
CB-1030,793.82,not_as_described,31,True,True,True,delivered_confirmed,False,acknowledged_receipt,full_refund,0,won
CB-1031,19880.4,item_not_received,31,True,True,True,delivered_unconfirmed,True,no_contact,no_refund,0,won
CB-1032,47339.41,not_as_described,15,True,True,True,unknown,False,no_contact,no_refund,0,lost
CB-1033,5764.49,duplicate_charge,35,True,True,True,delivered_confirmed,True,no_contact,full_refund,0,won
CB-1034,19488.54,unauthorized_transaction,22,True,True,True,not_delivered,False,no_contact,no_refund,1,lost
CB-1035,34840.89,not_as_described,10,True,True,True,delivered_confirmed,True,no_contact,no_refund,1,won
CB-1036,17903.11,item_not_received,33,True,True,True,delivered_confirmed,True,complained_before,no_refund,2,won
CB-1037,16322.1,item_not_received,39,True,True,True,delivered_confirmed,True,no_contact,no_refund,0,won
CB-1038,689.66,item_not_received,29,True,True,True,not_delivered,True,acknowledged_receipt,no_refund,0,won
CB-1039,721.76,item_not_received,10,True,True,True,not_delivered,False,acknowledged_receipt,partial_refund,2,won
CB-1040,2515.5,unauthorized_transaction,18,True,True,True,delivered_confirmed,True,acknowledged_receipt,no_refund,1,won
CB-1041,12045.93,item_not_received,51,True,True,True,delivered_confirmed,True,complained_before,no_refund,2,won
CB-1042,16415.91,not_as_described,25,True,True,True,delivered_confirmed,True,complained_before,no_refund,0,lost
CB-1043,7032.86,item_not_received,18,True,True,True,unknown,True,complained_before,no_refund,4,won
CB-1044,19481.0,unauthorized_transaction,17,True,True,True,delivered_unconfirmed,True,no_contact,no_refund,0,won
CB-1045,7120.97,item_not_received,9,True,True,True,delivered_confirmed,True,acknowledged_receipt,no_refund,4,won
CB-1046,35278.44,not_as_described,32,True,True,True,delivered_unconfirmed,False,acknowledged_receipt,no_refund,2,won
CB-1047,2352.8,not_as_described,22,True,True,True,delivered_unconfirmed,True,complained_before,no_refund,2,won
CB-1048,46348.09,item_not_received,8,True,True,True,delivered_confirmed,True,no_contact,no_refund,0,won
CB-1049,8693.4,item_not_received,31,True,True,True,delivered_confirmed,True,no_contact,no_refund,0,won
CB-1050,40524.9,unauthorized_transaction,20,True,True,True,delivered_unconfirmed,True,no_contact,no_refund,0,won
CB-1051,2771.13,not_as_described,14,True,True,True,delivered_confirmed,True,no_contact,partial_refund,0,won
CB-1052,62434.32,item_not_received,59,True,True,True,delivered_unconfirmed,True,no_contact,partial_refund,0,won
CB-1053,51130.28,not_as_described,17,True,True,True,delivered_confirmed,True,no_contact,no_refund,0,won
CB-1054,6818.28,not_as_described,21,True,True,True,delivered_confirmed,True,acknowledged_receipt,no_refund,0,won
CB-1055,1536.56,item_not_received,24,True,True,True,unknown,False,acknowledged_receipt,no_refund,0,won
CB-1056,2438.82,not_as_described,5,True,True,True,delivered_unconfirmed,False,complained_before,no_refund,0,won
CB-1057,890.38,unauthorized_transaction,23,True,True,True,delivered_confirmed,True,acknowledged_receipt,no_refund,0,won
CB-1058,2305.67,unauthorized_transaction,19,True,True,True,delivered_confirmed,True,complained_before,no_refund,0,won
CB-1059,18175.42,unauthorized_transaction,11,True,True,True,delivered_confirmed,True,complained_before,no_refund,3,won
CB-1060,2671.17,not_as_described,25,True,True,True,delivered_confirmed,True,acknowledged_receipt,partial_refund,4,won
CB-1061,1180.77,item_not_received,9,True,True,True,delivered_confirmed,True,no_contact,partial_refund,0,won
CB-1062,5981.31,duplicate_charge,8,True,True,True,delivered_confirmed,True,complained_before,no_refund,0,won
CB-1063,8051.07,not_as_described,64,True,True,True,delivered_confirmed,True,acknowledged_receipt,no_refund,0,won
CB-1064,26395.9,item_not_received,23,True,True,True,not_delivered,False,complained_before,no_refund,0,won
CB-1065,28209.12,duplicate_charge,11,True,True,True,delivered_unconfirmed,True,no_contact,no_refund,0,won
CB-1066,146084.15,item_not_received,30,True,True,True,not_delivered,True,no_contact,full_refund,3,lost
CB-1067,70672.96,item_not_received,10,True,True,True,not_delivered,True,complained_before,no_refund,1,won
CB-1068,18061.62,not_as_described,25,True,False,True,delivered_unconfirmed,True,complained_before,no_refund,2,lost
CB-1069,45066.01,item_not_received,14,True,True,True,delivered_confirmed,True,acknowledged_receipt,full_refund,0,won
CB-1070,6710.32,duplicate_charge,39,True,True,True,unknown,False,no_contact,full_refund,0,lost
CB-1071,941.32,item_not_received,32,True,False,True,unknown,False,acknowledged_receipt,no_refund,1,lost
CB-1072,2539.58,item_not_received,27,True,True,True,delivered_confirmed,True,no_contact,full_refund,2,won
CB-1073,12364.58,item_not_received,8,True,True,True,delivered_confirmed,True,acknowledged_receipt,partial_refund,0,won
CB-1074,17019.58,item_not_received,34,True,True,True,unknown,False,no_contact,partial_refund,1,won
CB-1075,15796.18,item_not_received,19,True,True,True,delivered_unconfirmed,True,complained_before,no_refund,4,won
CB-1076,2085.01,not_as_described,20,True,False,True,delivered_confirmed,False,acknowledged_receipt,partial_refund,1,won
CB-1077,2270.43,item_not_received,8,True,True,False,unknown,False,acknowledged_receipt,no_refund,0,won
CB-1078,1721.61,unauthorized_transaction,17,False,False,True,delivered_confirmed,True,no_contact,no_refund,0,won
CB-1079,7645.41,duplicate_charge,21,True,True,True,delivered_confirmed,False,complained_before,full_refund,0,won
CB-1080,2129.17,item_not_received,23,True,True,True,not_delivered,False,no_contact,no_refund,0,won
CB-1081,56999.02,unauthorized_transaction,13,True,True,True,delivered_confirmed,True,complained_before,no_refund,1,won
CB-1082,3197.55,item_not_received,18,True,True,True,not_delivered,True,complained_before,no_refund,0,lost
CB-1083,1747.22,not_as_described,31,True,True,True,delivered_confirmed,True,acknowledged_receipt,no_refund,0,won
CB-1084,16609.97,item_not_received,48,True,True,True,not_delivered,False,no_contact,no_refund,0,lost
CB-1085,2737.04,not_as_described,21,True,True,True,delivered_confirmed,True,acknowledged_receipt,partial_refund,0,won
CB-1086,955.29,unauthorized_transaction,24,True,True,False,unknown,False,acknowledged_receipt,no_refund,0,won
CB-1087,1656.56,unauthorized_transaction,38,True,True,False,delivered_confirmed,True,complained_before,no_refund,1,won
CB-1088,74042.11,item_not_received,34,True,True,True,not_delivered,True,no_contact,partial_refund,0,won
CB-1089,92668.39,unauthorized_transaction,9,True,True,True,delivered_unconfirmed,True,complained_before,full_refund,0,won
CB-1090,2433.68,item_not_received,23,True,True,True,delivered_confirmed,True,complained_before,no_refund,0,won
CB-1091,919.05,item_not_received,37,True,True,True,unknown,False,acknowledged_receipt,no_refund,0,won
CB-1092,22360.61,item_not_received,35,True,True,True,unknown,False,acknowledged_receipt,full_refund,0,lost
CB-1093,11765.13,not_as_described,14,True,True,True,delivered_confirmed,False,acknowledged_receipt,no_refund,0,won
CB-1094,2231.56,unauthorized_transaction,26,True,True,True,delivered_confirmed,False,no_contact,no_refund,0,won
CB-1095,14070.96,item_not_received,40,True,True,True,delivered_unconfirmed,True,no_contact,no_refund,1,won
CB-1096,16903.18,item_not_received,22,True,True,True,delivered_confirmed,True,acknowledged_receipt,no_refund,0,won
CB-1097,14359.62,not_as_described,6,True,True,True,delivered_confirmed,True,complained_before,no_refund,0,won
CB-1098,68779.14,unauthorized_transaction,35,True,True,True,delivered_confirmed,True,complained_before,no_refund,0,won
CB-1099,52349.68,item_not_received,50,True,True,True,not_delivered,True,complained_before,no_refund,0,won
CB-1100,2907.32,not_as_described,27,True,False,True,delivered_unconfirmed,False,complained_before,no_refund,0,won
CB-1101,74001.39,item_not_received,35,True,True,True,delivered_confirmed,True,complained_before,no_refund,0,won
CB-1102,33004.39,item_not_received,24,True,True,True,delivered_unconfirmed,True,no_contact,no_refund,1,won
CB-1103,15199.16,not_as_described,28,True,True,True,delivered_unconfirmed,True,complained_before,no_refund,0,won
CB-1104,4149.41,unauthorized_transaction,27,True,True,True,delivered_confirmed,True,no_contact,no_refund,0,won
CB-1105,4022.42,not_as_described,13,True,True,True,delivered_confirmed,True,no_contact,partial_refund,0,won
CB-1106,2981.21,duplicate_charge,44,True,True,True,delivered_confirmed,True,no_contact,full_refund,0,won
CB-1107,1400.34,item_not_received,25,True,True,True,delivered_unconfirmed,False,complained_before,full_refund,1,won
CB-1108,26981.98,unauthorized_transaction,38,True,True,True,delivered_confirmed,True,acknowledged_receipt,no_refund,0,won
CB-1109,16982.17,item_not_received,75,True,True,True,delivered_confirmed,True,acknowledged_receipt,no_refund,0,won
CB-1110,19418.98,item_not_received,25,True,True,True,delivered_unconfirmed,True,acknowledged_receipt,no_refund,1,won
CB-1111,2987.17,item_not_received,17,True,True,True,delivered_confirmed,True,no_contact,no_refund,0,won
CB-1112,11959.7,item_not_received,10,True,True,True,not_delivered,True,complained_before,no_refund,0,won
CB-1113,28226.58,not_as_described,13,True,True,True,delivered_confirmed,True,complained_before,no_refund,0,won
CB-1114,10810.6,unauthorized_transaction,16,True,True,True,delivered_confirmed,False,complained_before,no_refund,0,won
CB-1115,13436.87,item_not_received,12,True,True,True,delivered_confirmed,True,acknowledged_receipt,no_refund,0,won
CB-1116,9005.27,item_not_received,44,True,True,True,not_delivered,False,complained_before,no_refund,0,lost
CB-1117,2423.06,not_as_described,11,True,True,True,delivered_confirmed,True,no_contact,no_refund,0,won
CB-1118,12901.19,unauthorized_transaction,32,True,True,True,delivered_confirmed,True,complained_before,no_refund,3,won
CB-1119,993.68,unauthorized_transaction,11,True,True,True,delivered_confirmed,True,complained_before,partial_refund,1,won
CB-1120,6016.29,not_as_described,29,True,True,True,delivered_unconfirmed,True,complained_before,no_refund,0,won
CB-1121,17846.49,not_as_described,17,True,True,True,unknown,True,complained_before,no_refund,0,won
CB-1122,13471.75,item_not_received,44,True,True,True,not_delivered,True,no_contact,no_refund,0,won
CB-1123,2691.63,duplicate_charge,15,True,True,True,delivered_confirmed,True,acknowledged_receipt,full_refund,0,won
CB-1124,1970.51,not_as_described,17,True,True,True,delivered_confirmed,True,complained_before,partial_refund,0,won
CB-1125,1335.6,unauthorized_transaction,39,True,True,True,delivered_confirmed,True,complained_before,no_refund,1,lost
CB-1126,58553.91,item_not_received,44,True,True,True,delivered_unconfirmed,True,acknowledged_receipt,no_refund,0,won
CB-1127,2579.24,item_not_received,26,True,True,True,delivered_confirmed,True,complained_before,no_refund,0,won
CB-1128,15401.64,unauthorized_transaction,19,True,True,True,delivered_unconfirmed,False,acknowledged_receipt,no_refund,0,won
CB-1129,1179.87,unauthorized_transaction,15,True,True,True,delivered_confirmed,True,no_contact,no_refund,0,won
CB-1130,2159.47,duplicate_charge,13,True,True,True,delivered_confirmed,True,no_contact,no_refund,0,won
CB-1131,122596.91,item_not_received,11,True,True,True,unknown,False,complained_before,no_refund,2,lost
